[ 2025-12-25 12:55:02,330 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-25 12:55:04,723 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-25 12:55:04,723 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-25 12:55:04,725 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-25 12:55:04,848 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-25 12:55:04,849 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-25 12:55:04,915 ] 26 root - INFO - Initiate the data Validation
[ 2025-12-25 12:55:04,982 ] 32 root - INFO - Required number of columns:2
[ 2025-12-25 12:55:04,984 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-25 12:55:04,984 ] 32 root - INFO - Required number of columns:2
[ 2025-12-25 12:55:04,984 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-25 12:55:05,378 ] 28 root - INFO - data Validation Completed
[ 2025-12-25 12:55:05,378 ] 31 root - INFO - data Transformation started
[ 2025-12-25 12:55:05,379 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-25 12:55:05,379 ] 65 root - INFO - Starting data transformation
[ 2025-12-25 12:55:05,417 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-25 12:55:05,417 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-25 12:55:05,436 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-25 12:55:05,441 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-25 12:55:05,441 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-25 12:55:05,445 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-25 12:55:05,446 ] 35 root - INFO - data Transformation completed
[ 2025-12-25 12:55:05,446 ] 37 root - INFO - Model Training sstared
