[ 2025-12-25 13:03:41,249 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-25 13:03:43,197 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-25 13:03:43,197 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-25 13:03:43,197 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-25 13:03:43,247 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-25 13:03:43,247 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-25 13:03:43,286 ] 26 root - INFO - Initiate the data Validation
[ 2025-12-25 13:03:43,297 ] 32 root - INFO - Required number of columns:2
[ 2025-12-25 13:03:43,313 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-25 13:03:43,313 ] 32 root - INFO - Required number of columns:2
[ 2025-12-25 13:03:43,313 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-25 13:03:43,463 ] 28 root - INFO - data Validation Completed
[ 2025-12-25 13:03:43,463 ] 31 root - INFO - data Transformation started
[ 2025-12-25 13:03:43,463 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-25 13:03:43,479 ] 65 root - INFO - Starting data transformation
[ 2025-12-25 13:03:43,502 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-25 13:03:43,502 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-25 13:03:43,514 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-25 13:03:43,557 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-25 13:03:43,557 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-25 13:03:43,560 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-25 13:03:43,561 ] 35 root - INFO - data Transformation completed
[ 2025-12-25 13:03:43,562 ] 37 root - INFO - Model Training sstared
[ 2025-12-25 13:06:16,580 ] 137 root - INFO - Best model selected: Random Forest
[ 2025-12-25 13:07:02,697 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-25 13:07:02,724 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-25 13:07:02,724 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-25 13:07:02,857 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-25 13:07:02,857 ] 178 root - INFO - Model trainer artifact created: ModelTrainerArtifact(trained_model_file_path='Artifacts\\12_25_2025_13_03_29\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917538213998391, precision_score=0.9887708040906357, recall_score=0.9947548920718177), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9722567287784679, precision_score=0.9662551440329218, recall_score=0.9783333333333334))
[ 2025-12-25 13:07:02,857 ] 42 root - INFO - Model Training artifact created
